ic_account_circle, rounded, source=Google Fonts: Material Symbols, name=account_circle, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:account_circle, date_added=2026-02-06
ic_add, rounded, source=Google Fonts: Material Symbols, name=add, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:add, date_added=2026-02-06
ic_arrow_back, rounded, source=Google Fonts: Material Symbols, name=arrow_back, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:arrow_back, date_added=2026-02-06
ic_arrow_forward, rounded, source=Google Fonts: Material Symbols, name=arrow_forward, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:arrow_forward, date_added=2026-02-06
ic_calendar_month, rounded, source=Google Fonts: Material Symbols, name=calendar_month, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:calendar_month, date_added=2026-02-06
ic_check, rounded, source=Google Fonts: Material Symbols, name=check, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:check, date_added=2026-02-06
ic_close, rounded, source=Google Fonts: Material Symbols, name=close, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:close, date_added=2026-02-06
ic_delete, rounded, source=Google Fonts: Material Symbols, name=delete, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:delete, date_added=2026-02-06
ic_description, rounded, source=Google Fonts: Material Symbols, name=description, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:description, date_added=2026-02-06
ic_directions_run, rounded, source=Google Fonts: Material Symbols, name=directions_run, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:directions_run, date_added=2026-02-06
ic_directions_run_outlined, outlined, source=Google Fonts: Material Symbols, name=directions_run, url=https://fonts.google.com/icons?selected=Material+Symbols+Outlined:directions_run, date_added=2026-02-06
ic_directions_walk, rounded, source=Google Fonts: Material Symbols, name=directions_walk, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:directions_walk, date_added=2026-02-06
ic_edit, rounded, source=Google Fonts: Material Symbols, name=edit, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:edit, date_added=2026-02-06
ic_fitness_center, rounded, source=Google Fonts: Material Symbols, name=fitness_center, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:fitness_center, date_added=2026-02-06
ic_home, rounded, source=Google Fonts: Material Symbols, name=home, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:home, date_added=2026-02-06
ic_keyboard_arrow_right, rounded, source=Google Fonts: Material Symbols, name=keyboard_arrow_right, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:keyboard_arrow_right, date_added=2026-02-06
ic_location_on, outlined, source=Google Fonts: Material Symbols, name=location_on, url=https://fonts.google.com/icons?selected=Material+Symbols+Outlined:location_on, date_added=2026-02-06
ic_notifications, rounded, source=Google Fonts: Material Symbols, name=notifications, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:notifications, date_added=2026-02-06
ic_notifications_outlined, outlined, source=Google Fonts: Material Symbols, name=notifications, url=https://fonts.google.com/icons?selected=Material+Symbols+Outlined:notifications, date_added=2026-02-06
ic_pause, rounded, source=Google Fonts: Material Symbols, name=pause, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:pause, date_added=2026-02-06
ic_person, rounded, source=Google Fonts: Material Symbols, name=person, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:person, date_added=2026-02-06
ic_photo_camera, outlined, source=Google Fonts: Material Symbols, name=photo_camera, url=https://fonts.google.com/icons?selected=Material+Symbols+Outlined:photo_camera, date_added=2026-02-06
ic_play_arrow, rounded, source=Google Fonts: Material Symbols, name=play_arrow, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:play_arrow, date_added=2026-02-06
ic_refresh, rounded, source=Google Fonts: Material Symbols, name=refresh, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:refresh, date_added=2026-02-06
ic_remove, rounded, source=Google Fonts: Material Symbols, name=remove, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:remove, date_added=2026-02-06
ic_stop, rounded, source=Google Fonts: Material Symbols, name=stop, url=https://fonts.google.com/icons?selected=Material+Symbols+Rounded:stop, date_added=2026-02-06
